Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:10:00,3,33.78,33.77,715.7,51.8,34.55,34.55,97.77,111222.0,2.8,111.2,43.8,43.8,43.7,0,49.98,256.6,257.1,254.3,0,51.4,0.77,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,671.5,672.2,660.6,7.3,,,,,,,,,,,,,,,,,17.6,17.6,16.5,0.1,,,,,,,,,,,,,,,,,17.6,17.6,16.5,0.1,,,,,,,11.82,11.83,10.9,0.0,,,,,,,671.5,672.2,660.6,7.3,,,,,,
2023/02/07,13:15:00,3,32.66,32.65,716.0,50.2,33.33,33.33,97.99,111225.0,2.8,114.0,42.3,42.3,42.4,0,49.99,257.2,256.1,253.5,0,51.1,0.67,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,655.7,672.5,668.1,7.6,,,,,,,,,,,,,,,,,17.4,17.0,15.7,0.1,,,,,,,,,,,,,,,,,17.4,17.0,15.7,0.1,,,,,,,11.41,11.43,10.49,0.0,,,,,,,655.7,672.5,668.1,7.6,,,,,,
2023/02/07,13:20:00,3,32.28,32.27,714.8,50.3,33.01,33.01,97.79,111227.0,2.7,116.7,41.9,41.9,41.7,0,50.11,257.4,255.5,254.5,0,50.7,0.73,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,671.6,672.3,628.1,7.2,,,,,,,,,,,,,,,,,17.0,16.8,16.4,0.1,,,,,,,,,,,,,,,,,17.0,16.8,16.4,0.1,,,,,,,11.42,11.29,10.3,0.0,,,,,,,671.6,672.3,628.1,7.2,,,,,,
2023/02/07,13:25:00,3,33.73,33.72,712.5,53.0,34.47,34.47,97.85,111230.0,2.8,119.5,44.0,43.9,43.7,0,50.02,254.1,256.0,254.6,0,51.3,0.74,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,668.2,668.9,616.8,7.0,,,,,,,,,,,,,,,,,17.8,17.7,17.4,0.1,,,,,,,,,,,,,,,,,17.8,17.7,17.4,0.1,,,,,,,11.89,11.84,10.73,0.0,,,,,,,668.2,668.9,616.8,7.0,,,,,,
2023/02/07,14:35:00,3,29.17,29.16,724.5,44.1,29.8,29.8,97.89,111267.0,2.4,155.8,38.5,38.5,38.4,0,50.03,251.9,251.4,249.5,0,49.5,0.63,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,683.2,684.0,663.7,7.7,,,,,,,,,,,,,,,,,15.1,15.0,13.9,0.1,,,,,,,,,,,,,,,,,15.1,15.0,13.9,0.1,,,,,,,10.32,10.26,9.23,0.0,,,,,,,683.2,684.0,663.7,7.7,,,,,,
