Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:10:00,10,26.27,26.26,766.4,41.7,26.9,26.9,97.66,331111.0,2.3,121.2,32.1,32.2,31.5,0,49.99,275.7,269.9,273.2,0,73.1,0.63,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,644.0,644.1,643.8,648.0,,,,,,,,,,,,,,,,,5.9,11.9,12.1,11.8,,,,,,,,,,,,,,,,,5.9,11.9,12.1,11.8,,,,,,,3.8,7.66,7.79,7.65,,,,,,,644.0,644.1,643.8,648.0,,,,,,
2023/02/07,13:15:00,10,25.91,25.9,774.3,41.2,26.59,26.59,97.44,331113.0,2.3,123.5,31.3,31.5,31.0,0,49.99,277.4,271.5,275.0,0,71.8,0.68,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,644.4,644.0,643.8,648.6,,,,,,,,,,,,,,,,,5.8,11.7,12.0,11.7,,,,,,,,,,,,,,,,,5.8,11.7,12.0,11.7,,,,,,,3.74,7.53,7.73,7.59,,,,,,,644.4,644.0,643.8,648.6,,,,,,
2023/02/07,13:20:00,10,26.18,26.17,781.6,41.6,26.72,26.72,97.98,331115.0,2.1,125.6,31.3,31.5,30.9,0,50.08,280.7,274.7,278.3,0,72.6,0.54,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,648.4,648.3,639.6,636.0,,,,,,,,,,,,,,,,,5.8,11.7,12.1,12.0,,,,,,,,,,,,,,,,,5.8,11.7,12.1,12.0,,,,,,,3.76,7.59,7.74,7.63,,,,,,,648.4,648.3,639.6,636.0,,,,,,
2023/02/07,13:25:00,10,25.74,25.73,783.6,41.1,26.45,26.46,97.32,331117.0,2.2,127.8,30.8,31.0,30.4,0,50.03,281.5,276.1,279.7,0,73.7,0.71,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,640.1,640.2,648.1,644.5,,,,,,,,,,,,,,,,,5.8,11.8,11.8,11.7,,,,,,,,,,,,,,,,,5.8,11.8,11.8,11.7,,,,,,,3.71,7.55,7.65,7.54,,,,,,,640.1,640.2,648.1,644.5,,,,,,
2023/02/07,14:35:00,10,19.67,19.66,776.3,30.6,20.21,20.21,97.33,331143.0,1.7,153.4,23.7,23.9,23.5,0,50.04,279.2,274.2,276.9,0,64.6,0.54,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,664.4,663.8,655.6,660.4,,,,,,,,,,,,,,,,,4.3,8.7,8.9,8.7,,,,,,,,,,,,,,,,,4.3,8.7,8.9,8.7,,,,,,,2.86,5.78,5.83,5.75,,,,,,,664.4,663.8,655.6,660.4,,,,,,
