Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,inv_status,timestamp,dc_power_smb/0,dc_power_smb/1
2023/02/07,13:10:00,5,84.79,84.79,582.0,138.0,80.32,0,105.57,163797.0,1.0,354.0,140.0,135.0,151.0,0,49.94,211.0,203.0,212.0,0,48.0,-4.47,1.0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755600.0,,
2023/02/07,13:11:00,5,83.95,83.95,580.0,137.0,79.46,0,105.65,163799.0,2.0,356.0,139.0,134.0,149.0,0,49.93,210.0,203.0,212.0,0,48.0,-4.49,1.0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755660.0,,
2023/02/07,13:12:00,5,83.63,83.63,579.0,137.0,79.32,0,105.43,163800.0,1.0,357.0,139.0,133.0,149.0,0,49.91,210.0,203.0,212.0,0,48.0,-4.31,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755720.0,,
2023/02/07,13:13:00,5,84.32,84.32,581.0,137.0,79.6,0,105.93,163802.0,2.0,359.0,139.0,134.0,149.0,0,49.94,210.0,203.0,212.0,0,48.0,-4.72,1.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755780.0,,
2023/02/07,13:14:00,5,85.46,85.46,578.0,140.0,80.92,0,105.61,163803.0,1.0,360.0,141.0,136.0,152.0,0,49.96,210.0,203.0,212.0,0,48.0,-4.54,1.0,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755840.0,,
2023/02/07,13:15:00,5,87.53,87.53,578.0,145.0,83.81,0,104.44,163804.0,1.0,361.0,145.0,140.0,155.0,0,49.94,210.0,203.0,212.0,0,48.0,-3.72,1.0,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755900.0,,
2023/02/07,13:16:00,5,87.41,87.41,583.0,142.0,82.79,0,105.58,163806.0,2.0,363.0,144.0,139.0,155.0,0,49.99,211.0,203.0,212.0,0,48.0,-4.62,1.0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675755960.0,,
2023/02/07,13:17:00,5,86.75,86.75,581.0,142.0,82.5,0,105.15,163807.0,1.0,364.0,143.0,138.0,153.0,0,50.01,210.0,203.0,212.0,0,48.0,-4.25,1.0,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756020.0,,
2023/02/07,13:18:00,5,85.91,85.91,577.0,141.0,81.36,0,105.59,163809.0,2.0,366.0,142.0,137.0,152.0,0,50.03,211.0,203.0,212.0,0,48.0,-4.55,1.0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756080.0,,
2023/02/07,13:19:00,5,85.91,85.91,577.0,141.0,81.36,0,105.59,163810.0,1.0,367.0,141.0,135.0,151.0,0,50.05,212.0,204.0,214.0,0,48.0,-4.55,1.0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1675756140.0,,
