Date,Time,irradience,ambient_temp,ghi,irradiance_tdf,temperature,node_id,POA Instantaneous Energy,Daily POA Energy,wind_speed
2023/02/07,11:50:00,968.0,29.36,,878.51,46.5,1,80.66666666666667,80.66666666666667,0.41
2023/02/07,13:10:00,978.0,29.93,,880.86,48.1,1,81.5,162.16666666666669,1.63
2023/02/07,13:15:00,982.0,29.89,,887.41,47.4,1,81.83333333333333,244.0,2.41
2023/02/07,13:20:00,978.0,30.05,,882.12,47.8,1,81.5,325.5,2.95
2023/02/07,13:25:00,976.0,30.03,,880.31,47.8,1,81.33333333333333,406.8333333333333,2.29
2023/02/07,14:15:00,914.0,30.71,,797.67,54.6,1,76.16666666666667,483.0,1.21
2023/02/07,14:30:00,884.0,30.93,,769.58,55.1,1,73.66666666666667,556.6666666666666,2.24
2023/02/07,14:35:00,871.0,30.72,,765.76,53.1,1,72.58333333333333,629.25,1.97
