Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,40,25.98,25.98,653.22,40.4,26.39,26.5,98.48,229413.45,2.12,128.32,29.4,29.3,29.6,0,49.99,517.6,515.1,509.0,0,68.1,0.41,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,652.8,652.8,654.8,654.8,666.9,666.9,644.8,644.8,,,,,,,,,,,,,5.9,5.9,5.6,5.9,5.6,5.5,0.0,6.0,,,,,,,,,,,,,11.8,11.5,11.1,6.0,,,,,,,7.61,7.49,7.38,3.9,,,,,,,652.8,654.8,666.9,644.8,,,,,,,1675755600.0
2023/02/07,13:15:00,40,25.61,25.61,656.57,39.6,26.0,26.04,98.51,229416.08,2.63,130.95,28.5,28.4,28.7,0,49.96,525.2,522.8,517.0,0,67.7,0.39,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,652.7,652.7,665.8,665.8,660.9,660.9,644.9,644.9,,,,,,,,,,,,,5.8,5.7,5.4,5.7,5.6,5.5,0.0,5.9,,,,,,,,,,,,,11.5,11.1,11.1,5.9,,,,,,,7.56,7.43,7.37,3.89,,,,,,,652.7,665.8,660.9,644.9,,,,,,,1675755900.0
2023/02/07,13:20:00,40,28.11,28.11,660.65,43.2,28.54,28.6,98.49,229418.23,2.15,133.1,31.2,31.0,31.3,0,50.1,528.6,525.7,520.3,0,67.8,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,658.7,658.7,659.8,659.8,670.3,670.3,656.7,656.7,,,,,,,,,,,,,6.3,6.2,6.0,6.3,6.0,6.0,0.0,6.4,,,,,,,,,,,,,12.5,12.3,12.0,6.4,,,,,,,8.24,8.12,7.98,4.22,,,,,,,658.7,659.8,670.3,656.7,,,,,,,1675756200.0
2023/02/07,13:25:00,40,24.44,24.44,663.1,37.4,24.8,24.87,98.54,229420.23,2.0,135.1,27.0,27.0,27.2,0,50.03,530.0,527.3,520.9,0,67.7,0.36,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,658.7,658.7,665.9,665.9,678.9,678.9,650.8,650.8,,,,,,,,,,,,,5.5,5.4,5.2,5.5,5.1,5.1,0.0,5.6,,,,,,,,,,,,,10.9,10.7,10.2,5.6,,,,,,,7.14,7.06,6.92,3.65,,,,,,,658.7,665.9,678.9,650.8,,,,,,,1675756500.0
2023/02/07,14:35:00,40,18.46,18.46,675.81,27.7,18.72,18.71,98.58,229446.32,1.51,161.19,20.6,20.5,20.8,0,50.04,524.8,521.3,517.2,0,64.7,0.26,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,676.7,676.7,671.8,671.8,678.4,678.4,674.8,674.8,,,,,,,,,,,,,4.0,4.0,3.9,4.0,4.0,3.8,0.0,4.0,,,,,,,,,,,,,8.0,7.9,7.8,4.0,,,,,,,5.42,5.32,5.29,2.74,,,,,,,676.7,671.8,678.4,674.8,,,,,,,1675760700.0
