Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,plant_availability,grid_availability
2023/02/07,13:10:00,2,42.68,42.66,700.7,73.6,44.5,44.5,95.91,231839.0,3.6,170.3,58.2,58.2,58.0,0,49.96,243.2,245.9,245.1,0,58.5,1.82,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,659.3,574.9,598.0,594.4,0,0,0,0,0,0,,,,,,,,,,,14.8,14.6,22.1,22.1,0,0,0,0,0,0,,,,,,,,,,,14.8,14.6,22.1,22.1,,,,,,,9.76,8.39,13.22,13.14,,,,,,,659.3,574.9,598.0,594.4,,,,,,,100.0,100.0
2023/02/07,13:15:00,2,43.6,43.58,714.8,74.4,45.57,45.57,95.68,231842.0,3.6,173.9,58.4,59.4,59.2,0,49.94,243.5,246.4,245.4,0,58.8,1.97,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,674.2,575.4,600.4,608.9,0,0,0,0,0,0,,,,,,,,,,,14.8,15.1,22.4,22.1,0,0,0,0,0,0,,,,,,,,,,,14.8,15.1,22.4,22.1,,,,,,,9.98,8.69,13.45,13.46,,,,,,,674.2,575.4,600.4,608.9,,,,,,,100.0,100.0
2023/02/07,13:20:00,2,43.02,43.0,699.9,74.0,44.85,44.85,95.92,231846.0,3.6,177.5,58.6,58.3,58.3,0,50.07,244.1,247.2,245.8,0,58.8,1.83,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,658.7,573.6,605.1,593.6,0,0,0,0,0,0,,,,,,,,,,,14.9,14.8,22.0,22.3,0,0,0,0,0,0,,,,,,,,,,,14.9,14.8,22.0,22.3,,,,,,,9.81,8.49,13.31,13.24,,,,,,,658.7,573.6,605.1,593.6,,,,,,,100.0,100.0
2023/02/07,13:25:00,2,42.47,42.45,713.0,72.6,44.31,44.31,95.85,231849.0,3.5,181.0,56.9,58.6,57.9,0,50.05,243.0,245.8,244.7,0,58.3,1.84,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,673.8,576.0,600.4,601.3,0,0,0,0,0,0,,,,,,,,,,,14.4,14.6,21.8,21.8,0,0,0,0,0,0,,,,,,,,,,,14.4,14.6,21.8,21.8,,,,,,,9.7,8.41,13.09,13.11,,,,,,,673.8,576.0,600.4,601.3,,,,,,,100.0,100.0
2023/02/07,14:35:00,2,34.45,34.43,716.6,57.8,35.99,35.99,95.72,231894.0,2.8,225.8,47.3,48.3,47.9,0,50.05,238.3,241.3,240.6,0,53.7,1.54,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,675.2,590.3,615.3,616.3,0,0,0,0,0,0,,,,,,,,,,,11.6,11.6,17.3,17.3,0,0,0,0,0,0,,,,,,,,,,,11.6,11.6,17.3,17.3,,,,,,,7.83,6.85,10.64,10.66,,,,,,,675.2,590.3,615.3,616.3,,,,,,,100.0,100.0
