Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:15:00,4,34.1,34.09,758.4,54.8,34.86,34.86,97.82,93721.0,2.9,130.4,41.7,41.6,41.4,0,49.98,271.6,272.7,273.0,0,50.5,0.76,1.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,666.2,630.8,614.6,3.9,,,,,,,,,,,,,,,,,18.3,18.2,18.2,0.1,,,,,,,,,,,,,,,,,18.3,18.2,18.2,0.1,,,,,,,12.19,11.48,11.19,0.0,,,,,,,666.2,630.8,614.6,3.9,,,,,,
2023/02/07,13:20:00,4,33.1,33.09,760.2,53.5,33.95,33.95,97.5,93724.0,2.8,133.2,40.5,40.6,40.2,0,50.09,271.5,272.9,273.5,0,50.3,0.85,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,670.1,626.9,610.1,3.8,,,,,,,,,,,,,,,,,17.8,17.8,17.8,0.1,,,,,,,,,,,,,,,,,17.8,17.8,17.8,0.1,,,,,,,11.93,11.16,10.86,0.0,,,,,,,670.1,626.9,610.1,3.8,,,,,,
2023/02/07,13:25:00,4,32.76,32.74,730.3,52.2,33.63,33.63,97.41,93726.0,2.6,135.8,42.0,41.7,41.5,0,50.03,260.1,262.6,261.9,0,50.0,0.87,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,683.0,638.5,615.2,3.9,,,,,,,,,,,,,,,,,17.3,17.3,17.5,0.1,,,,,,,,,,,,,,,,,17.3,17.3,17.5,0.1,,,,,,,11.82,11.05,10.77,0.0,,,,,,,683.0,638.5,615.2,3.9,,,,,,
2023/02/07,14:35:00,4,30.08,30.07,721.8,48.0,30.72,30.72,97.92,93763.0,2.5,172.4,39.0,38.9,38.7,0,50.04,255.1,257.4,256.7,0,48.8,0.64,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,682.3,654.7,583.5,3.9,,,,,,,,,,,,,,,,,16.4,16.1,15.4,0.1,,,,,,,,,,,,,,,,,16.4,16.1,15.4,0.1,,,,,,,11.19,10.54,8.99,0.0,,,,,,,682.3,654.7,583.5,3.9,,,,,,
