Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:10:00,2,754.6,0.0,620.2,1233.8,765.1,764.16,98.63,8945651.37,68.36,2915.04,1071.7,1084.1,1069.6,0,50.0,406.9,405.0,411.3,0,0,10.5,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,616.0,619.0,548.0,617.0,622.0,622.0,625.0,,,,,,,,,,,,,,206.0,173.4,189.6,187.0,170.8,154.0,169.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/07,13:15:00,2,759.2,0.0,620.7,1240.8,770.0,772.9,98.6,8945708.01,56.64,2971.68,1075.2,1088.1,1072.3,0,50.0,409.0,406.6,412.1,0,0,10.8,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,619.0,622.0,583.0,617.0,617.0,625.0,627.0,,,,,,,,,,,,,,205.5,173.3,187.8,187.3,173.2,154.7,170.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/07,13:20:00,2,752.4,0.0,620.4,1230.9,763.6,770.22,98.53,8945776.37,68.36,3040.04,1076.1,1089.3,1075.6,0,50.1,404.0,402.7,408.1,0,0,11.2,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,619.0,623.0,622.0,620.0,621.0,619.0,628.0,,,,,,,,,,,,,,204.2,172.5,185.0,184.2,169.3,152.4,167.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/07,13:25:00,2,758.1,0.0,621.0,1238.7,769.2,778.38,98.56,8945832.03,55.66,3095.7,1084.8,1097.8,1083.8,0,50.1,404.7,402.2,408.5,0,0,11.1,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,624.0,622.0,621.0,617.0,622.0,623.0,631.0,,,,,,,,,,,,,,203.9,173.6,187.4,187.1,171.7,153.9,168.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/07,14:15:00,2,703.5,0.0,619.8,1153.2,714.8,697.65,98.42,8946302.73,52.74,3566.41,1025.9,1039.7,1027.3,0,49.9,396.6,394.0,400.3,0,0,11.3,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,619.0,616.0,460.0,612.0,619.0,619.0,622.0,,,,,,,,,,,,,,192.2,162.7,176.1,176.4,160.2,143.9,158.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/07,14:30:00,2,682.3,0.0,620.5,1115.8,692.3,673.04,98.56,8946476.56,49.8,3740.23,972.5,987.0,975.0,0,50.0,405.6,403.3,408.8,0,0,10.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,617.0,620.0,459.0,620.0,618.0,622.0,628.0,,,,,,,,,,,,,,185.6,155.9,168.9,168.0,154.9,138.4,152.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023/02/07,14:35:00,2,672.1,0.0,623.1,1098.6,684.1,665.98,98.25,8946538.09,61.53,3801.76,999.3,1010.7,1002.4,0,50.1,389.4,387.3,392.8,0,0,12.0,-1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,625.0,624.0,463.0,623.0,622.0,626.0,630.0,,,,,,,,,,,,,,181.6,153.5,167.1,165.5,152.0,135.7,149.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
