Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:10:00,2,87.14,87.12,735.0,134.7,90.08,90.07,96.74,285030.0,7.6,318.6,113.0,113.5,113.0,0,49.96,255.2,255.1,255.8,0,75.7,2.94,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,677.7,664.4,655.6,677.3,690.1,666.8,675.5,661.9,18.5,,,,,,,,,,,,7.9,8.3,8.3,8.7,8.3,8.3,8.1,8.7,8.1,8.7,8.4,8.6,8.3,8.7,8.5,8.3,0.0,0.5,,,16.2,17.0,16.6,16.8,16.8,17.0,17.0,16.8,0.5,,10.98,11.29,10.88,11.38,11.59,11.34,11.48,11.12,0.01,,677.7,664.4,655.6,677.3,690.1,666.8,675.5,661.9,18.5,
2023/02/07,13:15:00,2,87.14,87.12,750.8,132.0,89.74,89.94,97.1,285037.0,7.0,325.6,113.0,113.7,113.3,0,49.96,255.4,254.9,255.7,0,75.7,2.6,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,678.1,683.1,665.3,688.5,701.8,683.0,695.1,676.0,18.5,,,,,,,,,,,,8.0,8.4,8.1,8.4,8.3,8.2,7.9,8.5,7.9,8.5,8.1,8.4,8.0,8.4,8.4,8.0,0.0,0.5,,,16.4,16.5,16.5,16.4,16.4,16.5,16.4,16.4,0.5,,11.12,11.27,10.98,11.29,11.51,11.27,11.4,11.09,0.01,,678.1,683.1,665.3,688.5,701.8,683.0,695.1,676.0,18.5,
2023/02/07,13:20:00,2,85.97,85.95,708.8,134.0,88.02,88.24,97.67,285044.0,7.4,333.0,111.2,111.4,111.1,0,50.09,256.1,256.0,256.7,0,73.8,2.05,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,665.2,663.5,642.1,661.3,672.0,651.4,676.1,656.8,5.0,,,,,,,,,,,,8.0,8.3,8.1,8.5,8.3,8.4,8.1,8.7,8.1,8.8,8.3,8.6,8.1,8.5,8.4,8.3,0.0,0.5,,,16.3,16.6,16.7,16.8,16.9,16.9,16.6,16.7,0.5,,10.84,11.01,10.72,11.11,11.36,11.01,11.22,10.97,0.0,,665.2,663.5,642.1,661.3,672.0,651.4,676.1,656.8,5.0,
2023/02/07,13:25:00,2,85.82,85.8,708.2,132.8,88.11,88.11,97.4,285051.0,7.0,340.0,110.7,111.1,110.7,0,50.03,256.1,256.0,257.0,0,73.3,2.29,1.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,670.5,668.6,645.3,672.1,669.1,662.3,678.7,661.3,5.3,,,,,,,,,,,,8.0,8.3,8.1,8.4,8.2,8.4,7.9,8.5,8.1,8.8,8.2,8.5,8.1,8.4,8.3,8.1,0.0,0.5,,,16.3,16.5,16.6,16.4,16.9,16.7,16.5,16.4,0.5,,10.93,11.03,10.71,11.02,11.31,11.06,11.2,10.85,0.0,,670.5,668.6,645.3,672.1,669.1,662.3,678.7,661.3,5.3,
2023/02/07,14:35:00,2,76.07,76.05,716.6,116.0,77.94,77.96,97.6,285146.0,6.2,434.7,99.2,99.4,99.2,0,50.05,253.6,253.8,254.3,0,67.1,1.87,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,685.6,675.4,667.6,686.8,675.8,669.0,677.9,661.7,7.1,,,,,,,,,,,,7.0,7.1,7.1,7.3,7.1,7.1,6.9,7.3,7.1,7.7,7.2,7.4,7.2,7.4,7.4,7.2,0.0,0.5,,,14.1,14.4,14.2,14.2,14.8,14.6,14.6,14.6,0.5,,9.67,9.73,9.48,9.75,10.0,9.77,9.9,9.66,0.0,,685.6,675.4,667.6,686.8,675.8,669.0,677.9,661.7,7.1,
