Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:15:00,15,34.41,34.41,643.38,54.4,35.0,35.18,98.33,417343.66,2.12,135.32,41.9,41.7,41.6,0,50.0,473.9,477.4,477.2,0,59.2,0.59,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,660.1,660.1,648.4,648.4,633.0,633.0,645.8,645.8,,,,,,,,,,,,,6.6,6.7,6.9,6.8,6.7,7.1,6.7,6.9,,,,,,,,,,,,,13.3,13.7,13.8,13.6,,,,,,,8.75,8.9,8.78,8.84,,,,,,,660.1,648.4,633.0,645.8,,,,,,
2023/02/07,13:20:00,15,35.48,35.48,643.32,56.1,36.09,36.28,98.31,417346.77,3.11,138.43,43.3,43.1,43.0,0,50.08,472.3,476.9,475.3,0,59.1,0.61,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,659.5,659.5,642.5,642.5,638.8,638.8,646.6,646.6,,,,,,,,,,,,,6.8,6.9,7.2,7.1,6.8,7.3,6.9,7.1,,,,,,,,,,,,,13.7,14.3,14.1,14.0,,,,,,,9.0,9.16,9.02,9.1,,,,,,,659.5,642.5,638.8,646.6,,,,,,
2023/02/07,13:25:00,15,35.27,35.27,636.17,56.4,35.88,36.15,98.33,417349.88,3.11,141.54,43.7,43.4,43.3,0,50.03,466.2,469.9,469.5,0,59.4,0.61,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,652.0,652.0,630.4,630.4,638.6,638.6,643.1,643.1,,,,,,,,,,,,,6.9,6.9,7.3,7.2,6.8,7.3,6.9,7.1,,,,,,,,,,,,,13.8,14.5,14.1,14.0,,,,,,,8.99,9.11,8.98,9.02,,,,,,,652.0,630.4,638.6,643.1,,,,,,
2023/02/07,14:35:00,15,27.94,27.94,637.75,44.5,28.38,28.58,98.46,417384.25,2.58,175.91,33.7,33.4,33.3,0,50.05,479.8,483.5,483.8,0,59.5,0.44,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,658.3,658.3,637.8,637.8,638.5,638.5,635.1,635.1,,,,,,,,,,,,,5.3,5.4,5.7,5.7,5.3,5.8,5.6,5.7,,,,,,,,,,,,,10.7,11.4,11.1,11.3,,,,,,,7.04,7.25,7.05,7.22,,,,,,,658.3,637.8,638.5,635.1,,,,,,
