Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,37,30.89,30.89,668.87,46.9,31.37,31.33,98.47,265730.85,2.51,153.48,35.0,35.0,35.2,0,49.99,510.7,509.2,504.2,0,66.6,0.48,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,656.1,656.1,654.0,654.0,653.9,653.9,703.8,703.8,,,,,,,,,,,,,5.5,5.7,5.8,5.7,5.8,5.6,12.8,0.0,,,,,,,,,,,,,11.2,11.5,11.4,12.8,,,,,,,7.41,7.55,7.47,9.04,,,,,,,656.1,654.0,653.9,703.8,,,,,,,1675755600.0
2023/02/07,13:15:00,37,30.69,30.69,670.32,46.5,31.17,31.07,98.47,265733.98,3.13,156.61,34.8,34.7,35.0,0,49.97,510.9,509.2,504.3,0,66.6,0.48,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,650.1,650.1,660.0,660.0,653.9,653.9,703.8,703.8,,,,,,,,,,,,,5.5,5.7,5.7,5.6,5.7,5.5,12.8,0.0,,,,,,,,,,,,,11.2,11.3,11.2,12.8,,,,,,,7.38,7.55,7.44,9.11,,,,,,,650.1,660.0,653.9,703.8,,,,,,,1675755900.0
2023/02/07,13:20:00,37,33.15,33.15,666.73,50.5,33.67,33.73,98.45,265736.5,2.52,159.13,36.9,36.6,36.9,0,50.09,522.5,519.2,514.6,0,66.8,0.52,1.0,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,656.2,656.2,654.0,654.0,659.9,659.9,697.8,697.8,,,,,,,,,,,,,5.9,6.2,6.3,6.2,6.2,6.0,13.7,0.0,,,,,,,,,,,,,12.1,12.5,12.2,13.7,,,,,,,7.96,8.11,8.04,9.55,,,,,,,656.2,654.0,659.9,697.8,,,,,,,1675756200.0
2023/02/07,13:25:00,37,28.84,28.84,671.33,43.6,29.27,29.33,98.52,265738.96,2.46,161.59,32.0,31.9,32.1,0,50.04,522.4,520.4,515.6,0,66.7,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,662.1,662.1,660.0,660.0,659.9,659.9,703.6,703.6,,,,,,,,,,,,,5.1,5.3,5.3,5.2,5.3,5.2,12.2,0.0,,,,,,,,,,,,,10.4,10.5,10.5,12.2,,,,,,,6.83,6.96,6.92,8.61,,,,,,,662.1,660.0,659.9,703.6,,,,,,,1675756500.0
2023/02/07,14:35:00,37,21.79,21.79,680.0,32.5,22.1,22.11,98.57,265769.98,1.77,192.6,24.4,24.2,24.6,0,50.04,517.5,515.0,512.5,0,63.8,0.31,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,662.1,662.1,671.9,671.9,659.9,659.9,721.8,721.8,,,,,,,,,,,,,3.9,4.0,3.9,3.9,4.0,3.9,8.9,0.0,,,,,,,,,,,,,7.9,7.8,7.9,8.9,,,,,,,5.21,5.26,5.25,6.45,,,,,,,662.1,671.9,659.9,721.8,,,,,,,1675760700.0
