Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,ac_power_set,pf_set,power_limit_flag
2023/02/07,13:10:00,3,33.88,0.0,572.04,60.45,34.58,35.61,98.5,201352.0,2.8,133.5,46.1,46.2,46.2,0,49.9,244.0,244.8,244.8,0,39.5,0.7,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,590.3,590.3,590.3,580.4,580.4,580.4,578.0,578.0,578.0,616.7,616.7,616.7,,,,,,,,,5.5,5.53,5.37,5.21,5.5,5.5,5.66,5.61,5.57,5.52,5.48,0.0,,,,,,,,,16.0,15.8,16.2,10.7,,,,,,,9.44,9.17,9.36,6.6,,,,,,,590.3,580.4,578.0,616.7,,,,,,,50.0,1.0,0
2023/02/07,13:15:00,3,33.24,0.0,578.35,58.65,33.92,34.84,98.5,201355.0,2.8,136.3,45.1,45.1,45.2,0,49.9,244.0,244.0,244.8,0,39.3,0.68,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,595.1,595.1,595.1,583.0,583.0,583.0,584.3,584.3,584.3,623.9,623.9,623.9,,,,,,,,,5.32,5.36,5.21,5.23,5.36,5.36,5.43,5.39,5.37,5.32,5.3,0.0,,,,,,,,,15.5,15.5,15.7,10.4,,,,,,,9.22,9.04,9.17,6.49,,,,,,,595.1,583.0,584.3,623.9,,,,,,,50.0,1.0,0
2023/02/07,13:20:00,3,32.46,0.0,578.92,57.21,33.12,34.14,98.5,201358.0,2.7,139.0,44.3,44.3,44.3,0,50.0,244.0,244.8,244.8,0,39.7,0.66,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,597.8,597.8,597.8,591.2,591.2,591.2,582.5,582.5,582.5,625.6,625.6,625.6,,,,,,,,,5.2,5.21,5.07,5.11,5.16,5.18,5.36,5.29,5.27,5.18,5.18,0.0,,,,,,,,,15.1,15.0,15.3,10.1,,,,,,,9.03,8.87,8.91,6.32,,,,,,,597.8,591.2,582.5,625.6,,,,,,,50.0,1.0,0
2023/02/07,13:25:00,3,31.69,0.0,587.57,55.04,32.34,33.08,98.5,201361.0,2.7,141.7,43.1,43.2,43.1,0,50.0,244.8,244.8,244.8,0,40.0,0.65,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,598.9,598.9,598.9,597.6,597.6,597.6,589.5,589.5,589.5,627.0,627.0,627.0,,,,,,,,,5.04,5.05,4.89,4.89,4.89,4.93,5.09,5.09,5.09,5.04,5.04,0.0,,,,,,,,,14.6,14.5,14.8,9.9,,,,,,,8.74,8.67,8.72,6.21,,,,,,,598.9,597.6,589.5,627.0,,,,,,,50.0,1.0,0
2023/02/07,14:30:00,3,26.18,0.0,588.03,45.44,26.72,27.53,98.5,201393.0,2.2,174.2,36.3,36.3,36.3,0,49.9,240.8,240.8,240.8,0,40.1,0.54,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,605.6,605.6,605.6,599.1,599.1,599.1,593.8,593.8,593.8,634.8,634.8,634.8,,,,,,,,,4.13,4.15,4.04,4.06,4.09,4.13,4.22,4.18,4.16,4.15,4.13,0.0,,,,,,,,,11.9,12.0,12.1,8.1,,,,,,,7.21,7.19,7.18,5.14,,,,,,,605.6,599.1,593.8,634.8,,,,,,,50.0,1.0,0
2023/02/07,14:35:00,3,25.76,0.0,590.56,44.5,26.28,26.88,98.5,201395.0,2.1,176.3,35.8,35.8,35.6,0,50.0,240.8,240.8,240.8,0,39.9,0.52,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,603.0,603.0,603.0,595.8,595.8,595.8,595.1,595.1,595.1,632.2,632.2,632.2,,,,,,,,,4.04,4.06,3.93,4.0,4.06,4.07,4.2,4.06,4.04,4.02,4.02,0.0,,,,,,,,,11.8,11.8,11.9,8.0,,,,,,,7.12,7.03,7.08,5.06,,,,,,,603.0,595.8,595.1,632.2,,,,,,,50.0,1.0,0
