Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,11,28.63,28.63,647.88,44.9,29.09,29.11,98.44,353302.33,2.4,144.98,32.6,32.7,32.7,0,49.98,509.6,507.4,502.5,0,60.6,0.46,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,645.2,645.2,645.6,645.6,645.7,645.7,657.5,657.5,,,,,,,,,,,,,5.8,5.5,5.7,5.7,5.7,5.6,5.6,5.3,,,,,,,,,,,,,11.3,11.4,11.3,10.9,,,,,,,7.29,7.41,7.34,7.28,,,,,,,645.2,645.6,645.7,657.5,,,,,,,1675755600.0
2023/02/07,13:15:00,11,30.95,30.95,653.64,48.1,31.44,31.48,98.46,353304.71,2.38,147.36,35.2,35.2,35.2,0,49.99,510.5,508.5,503.7,0,60.3,0.49,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,657.2,657.2,651.5,651.5,645.8,645.8,663.5,663.5,,,,,,,,,,,,,6.1,5.8,6.1,6.1,6.2,6.0,6.0,5.8,,,,,,,,,,,,,11.9,12.2,12.2,11.8,,,,,,,7.79,7.9,7.84,7.8,,,,,,,657.2,651.5,645.8,663.5,,,,,,,1675755900.0
2023/02/07,13:20:00,11,31.07,31.07,648.05,48.7,31.56,31.58,98.45,353307.13,2.42,149.78,34.6,34.7,34.7,0,50.08,521.1,519.3,512.9,0,60.0,0.49,1.0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,645.2,645.2,645.5,645.5,645.8,645.8,657.5,657.5,,,,,,,,,,,,,6.2,5.9,6.2,6.2,6.2,6.1,6.1,5.8,,,,,,,,,,,,,12.1,12.4,12.3,11.9,,,,,,,7.86,7.97,7.9,7.83,,,,,,,645.2,645.5,645.8,657.5,,,,,,,1675756200.0
2023/02/07,13:25:00,11,27.13,27.13,647.76,42.5,27.53,27.56,98.52,353309.49,2.36,152.14,30.1,30.2,30.2,0,50.05,522.5,520.3,515.5,0,59.8,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,639.2,639.2,645.6,645.6,645.8,645.8,663.5,663.5,,,,,,,,,,,,,5.5,5.2,5.4,5.4,5.4,5.3,5.3,5.0,,,,,,,,,,,,,10.7,10.8,10.7,10.3,,,,,,,6.84,6.98,6.91,6.83,,,,,,,639.2,645.6,645.8,663.5,,,,,,,1675756500.0
2023/02/07,14:35:00,11,21.03,21.03,664.49,32.1,21.33,21.29,98.59,353339.74,1.71,182.39,23.5,23.6,23.7,0,50.06,518.6,515.3,512.5,0,57.7,0.3,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,657.2,657.2,657.5,657.5,663.8,663.8,675.4,675.4,,,,,,,,,,,,,4.1,3.9,4.1,4.1,4.1,4.0,4.0,3.8,,,,,,,,,,,,,8.0,8.2,8.1,7.8,,,,,,,5.3,5.41,5.33,5.31,,,,,,,657.2,657.5,663.8,675.4,,,,,,,1675760700.0
