Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:15:00,22,35.21,35.21,654.84,54.7,35.82,36.01,98.31,364804.51,2.35,137.68,41.9,42.1,42.0,0,49.99,483.3,480.9,485.5,0,58.1,0.61,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,652.2,652.2,663.9,663.9,656.9,656.9,660.7,660.7,,,,,,,,,,,,,6.9,6.8,6.4,6.8,6.9,7.0,6.9,7.0,,,,,,,,,,,,,13.7,13.2,13.9,13.9,,,,,,,8.97,8.8,9.13,9.2,,,,,,,652.2,663.9,656.9,660.7,,,,,,
2023/02/07,13:20:00,22,35.67,35.67,645.73,56.2,36.29,36.66,98.3,364807.62,3.12,140.8,42.6,42.6,42.5,0,50.08,482.9,479.4,485.3,0,58.2,0.62,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,652.2,652.2,658.0,658.0,644.9,644.9,654.8,654.8,,,,,,,,,,,,,7.1,6.9,6.6,7.0,7.1,7.3,7.0,7.2,,,,,,,,,,,,,14.0,13.6,14.4,14.2,,,,,,,9.13,8.96,9.24,9.29,,,,,,,652.2,658.0,644.9,654.8,,,,,,
2023/02/07,13:25:00,22,35.89,35.89,641.65,56.9,36.51,36.79,98.3,364810.77,3.15,143.95,43.3,43.6,43.4,0,50.04,476.1,473.5,478.1,0,58.4,0.62,1.0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,640.6,640.6,652.0,652.0,644.9,644.9,648.8,648.8,,,,,,,,,,,,,7.2,7.1,6.7,7.1,7.1,7.3,7.1,7.3,,,,,,,,,,,,,14.3,13.8,14.4,14.4,,,,,,,9.19,9.02,9.29,9.35,,,,,,,640.6,652.0,644.9,648.8,,,,,,
2023/02/07,14:35:00,22,28.83,28.83,642.76,45.6,29.31,29.61,98.37,364846.83,2.56,180.01,34.0,34.1,34.1,0,50.06,488.3,485.2,490.0,0,59.7,0.48,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,646.2,646.2,657.9,657.9,650.8,650.8,642.7,642.7,,,,,,,,,,,,,5.7,5.7,5.4,5.6,5.7,5.8,5.8,5.9,,,,,,,,,,,,,11.4,11.0,11.5,11.7,,,,,,,7.36,7.24,7.45,7.51,,,,,,,646.2,657.9,650.8,642.7,,,,,,
