Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,32,28.25,28.25,651.82,44.0,28.68,28.56,98.5,290280.98,2.91,141.38,32.0,31.9,32.0,0,49.95,513.5,512.1,505.9,0,65.6,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,630.5,630.5,657.3,657.3,650.1,650.1,658.6,658.6,,,,,,,,,,,,,5.6,5.6,5.4,5.6,5.5,5.5,5.3,5.5,,,,,,,,,,,,,11.2,11.0,11.0,10.8,,,,,,,7.06,7.23,7.19,7.11,,,,,,,630.5,657.3,650.1,658.6,,,,,,,1675755600.0
2023/02/07,13:15:00,32,28.79,28.79,653.69,44.7,29.22,29.16,98.5,290283.3,2.32,143.7,32.8,32.6,32.7,0,49.96,512.3,510.5,504.4,0,65.3,0.43,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,632.0,632.0,657.2,657.2,656.1,656.1,664.6,664.6,,,,,,,,,,,,,5.7,5.8,5.3,5.8,5.5,5.6,5.4,5.6,,,,,,,,,,,,,11.5,11.1,11.1,11.0,,,,,,,7.28,7.36,7.36,7.29,,,,,,,632.0,657.2,656.1,664.6,,,,,,,1675755900.0
2023/02/07,13:20:00,32,30.47,30.47,647.07,47.8,30.93,30.9,98.5,290285.65,2.35,146.05,33.9,33.9,33.8,0,50.09,523.3,521.6,514.1,0,65.5,0.46,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,626.0,626.0,657.2,657.2,650.3,650.3,652.6,652.6,,,,,,,,,,,,,6.1,6.1,5.8,6.1,5.9,6.0,5.8,6.0,,,,,,,,,,,,,12.2,11.9,11.9,11.8,,,,,,,7.61,7.77,7.74,7.64,,,,,,,626.0,657.2,650.3,652.6,,,,,,,1675756200.0
2023/02/07,13:25:00,32,26.99,26.99,651.9,42.0,27.38,27.33,98.56,290287.96,2.31,148.36,30.0,30.0,30.0,0,50.04,523.5,521.6,515.2,0,65.4,0.39,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,625.9,625.9,663.3,663.3,662.1,662.1,652.6,652.6,,,,,,,,,,,,,5.4,5.4,5.1,5.3,5.2,5.2,5.1,5.3,,,,,,,,,,,,,10.8,10.4,10.4,10.4,,,,,,,6.76,6.87,6.84,6.8,,,,,,,625.9,663.3,662.1,652.6,,,,,,,1675756500.0
2023/02/07,14:35:00,32,20.43,20.43,661.66,31.3,20.71,20.7,98.63,290316.9,1.66,177.3,22.9,22.8,22.9,0,50.04,519.3,516.4,512.9,0,62.4,0.28,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,638.0,638.0,675.2,675.2,662.1,662.1,670.6,670.6,,,,,,,,,,,,,4.0,4.0,3.8,3.9,4.0,3.9,3.8,3.9,,,,,,,,,,,,,8.0,7.7,7.9,7.7,,,,,,,5.09,5.2,5.25,5.13,,,,,,,638.0,675.2,662.1,670.6,,,,,,,1675760700.0
