Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,plant_availability,grid_availability
2023/02/07,13:15:00,1,38.17,38.16,709.8,60.5,39.44,39.44,96.78,271039.0,3.2,62.3,51.4,51.3,51.4,0,49.96,248.7,247.1,247.2,0,83.5,1.27,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,643.5,642.1,669.6,3.1,0,0,0,0,0,0,,,,,,,,,,,22.8,15.0,22.6,0.1,0,0,0,0,0,0,,,,,,,,,,,22.8,15.0,22.6,0.1,,,,,,,14.67,9.63,15.13,0.0,,,,,,,643.5,642.1,669.6,3.1,,,,,,,100.0,100.0
2023/02/07,13:20:00,1,38.44,38.43,708.1,60.9,39.64,39.64,96.97,271042.0,3.2,65.5,52.2,52.0,52.0,0,50.05,247.0,245.7,245.6,0,71.5,1.2,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,642.5,641.3,668.4,3.3,0,0,0,0,0,0,,,,,,,,,,,22.9,15.1,22.8,0.1,0,0,0,0,0,0,,,,,,,,,,,22.9,15.1,22.8,0.1,,,,,,,14.71,9.68,15.24,0.0,,,,,,,642.5,641.3,668.4,3.3,,,,,,,100.0,100.0
2023/02/07,13:25:00,1,37.27,37.25,714.2,59.0,38.28,38.28,97.36,271046.0,3.1,68.6,51.6,51.0,51.3,0,50.03,243.7,242.2,241.6,0,67.0,1.01,1.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,633.4,640.4,673.6,3.2,0,0,0,0,0,0,,,,,,,,,,,22.5,14.7,21.7,0.1,0,0,0,0,0,0,,,,,,,,,,,22.5,14.7,21.7,0.1,,,,,,,14.25,9.41,14.62,0.0,,,,,,,633.4,640.4,673.6,3.2,,,,,,,100.0,100.0
2023/02/07,14:35:00,1,31.54,31.53,705.1,50.1,32.52,32.52,96.99,271087.0,2.7,109.9,44.2,44.1,44.2,0,50.07,238.3,236.6,236.6,0,81.5,0.98,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,639.7,645.4,664.5,2.8,0,0,0,0,0,0,,,,,,,,,,,19.0,12.3,18.7,0.1,0,0,0,0,0,0,,,,,,,,,,,19.0,12.3,18.7,0.1,,,,,,,12.15,7.94,12.43,0.0,,,,,,,639.7,645.4,664.5,2.8,,,,,,,100.0,100.0
