Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,9,28.43,28.43,633.85,45.5,28.84,29.4,98.6,422782.26,2.39,138.65,32.1,32.3,32.4,0,49.99,508.2,507.3,512.2,0,53.9,0.41,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,637.3,637.3,639.4,639.4,642.0,642.0,667.3,667.3,,,,,,,,,,,,,5.8,5.7,5.8,5.7,5.9,5.7,5.5,5.4,,,,,,,,,,,,,11.5,11.5,11.6,10.9,,,,,,,7.29,7.31,7.41,7.26,,,,,,,637.3,639.4,642.0,667.3,,,,,,,1675755600.0
2023/02/07,13:15:00,9,30.53,30.53,638.35,48.5,30.96,31.4,98.61,422784.61,2.35,141.0,34.4,34.6,34.7,0,49.99,509.2,508.5,513.3,0,54.1,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,639.4,639.4,644.9,644.9,648.2,648.2,657.1,657.1,,,,,,,,,,,,,6.1,6.1,6.1,6.1,6.2,6.0,6.1,5.8,,,,,,,,,,,,,12.2,12.2,12.2,11.9,,,,,,,7.79,7.83,7.89,7.79,,,,,,,639.4,644.9,648.2,657.1,,,,,,,1675755900.0
2023/02/07,13:20:00,9,30.9,30.9,635.22,49.4,31.38,31.87,98.46,422787.02,2.41,143.41,34.1,34.3,34.4,0,50.08,519.3,519.6,523.3,0,53.8,0.48,1.0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,633.9,633.9,643.7,643.7,641.8,641.8,661.7,661.7,,,,,,,,,,,,,6.3,6.2,6.2,6.2,6.3,6.2,6.1,5.9,,,,,,,,,,,,,12.5,12.4,12.5,12.0,,,,,,,7.93,7.96,8.03,7.9,,,,,,,633.9,643.7,641.8,661.7,,,,,,,1675756200.0
2023/02/07,13:25:00,9,26.8,26.8,634.03,42.9,27.2,27.59,98.56,422789.36,2.34,145.75,29.6,29.7,29.8,0,50.05,520.9,519.5,524.6,0,53.6,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,636.0,636.0,643.7,643.7,641.5,641.5,651.6,651.6,,,,,,,,,,,,,5.4,5.4,5.4,5.3,5.5,5.4,5.4,5.1,,,,,,,,,,,,,10.8,10.7,10.9,10.5,,,,,,,6.88,6.89,6.99,6.86,,,,,,,636.0,643.7,641.5,651.6,,,,,,,1675756500.0
2023/02/07,14:35:00,09,20.84,20.84,649.85,32.5,21.12,21.5,98.68,422819.34,1.69,175.73,23.1,23.3,23.3,0,50.06,515.4,516.2,520.0,0,52.6,0.28,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,655.2,655.2,656.6,656.6,663.8,663.8,670.3,670.3,,,,,,,,,,,,,4.1,4.1,4.1,4.1,4.1,4.0,4.1,3.9,,,,,,,,,,,,,8.2,8.2,8.1,8.0,,,,,,,5.33,5.35,5.42,5.34,,,,,,,655.2,656.6,663.8,670.3,,,,,,,1675760700.0
