Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,plant_availability,grid_availability
2023/02/07,13:10:00,7,14.75,14.74,710.7,24.0,15.13,15.14,97.49,43333.0,1.2,45.3,19.3,19.3,19.2,0,49.98,254.1,255.7,252.8,0,42.1,0.38,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,640.2,631.7,3.8,,,,,,,,,,,,,,,,,0.1,11.8,12.0,0.1,,,,,,,,,,,,,,,,,0.1,11.8,12.0,0.1,,,,,,,0.0,7.55,7.58,0.0,,,,,,,5.0,640.2,631.7,3.8,,,,,,,100.0,100.0
2023/02/07,13:15:00,7,13.61,13.6,704.5,22.2,14.08,14.08,96.66,43334.0,1.2,46.5,18.0,18.0,17.8,0,49.93,251.9,253.5,251.1,0,42.5,0.47,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,640.0,639.9,3.8,,,,,,,,,,,,,,,,,0.1,11.0,11.0,0.1,,,,,,,,,,,,,,,,,0.1,11.0,11.0,0.1,,,,,,,0.0,7.04,7.04,0.0,,,,,,,5.3,640.0,639.9,3.8,,,,,,,100.0,100.0
2023/02/07,13:20:00,7,14.83,14.81,707.5,24.2,15.26,15.26,97.18,43335.0,1.2,47.7,19.6,19.5,19.3,0,50.1,253.4,254.9,252.1,0,42.6,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,631.9,639.7,3.8,,,,,,,,,,,,,,,,,0.1,12.1,11.9,0.1,,,,,,,,,,,,,,,,,0.1,12.1,11.9,0.1,,,,,,,0.0,7.65,7.61,0.0,,,,,,,4.8,631.9,639.7,3.8,,,,,,,100.0,100.0
2023/02/07,13:25:00,7,14.03,14.02,710.7,22.9,14.44,14.44,97.16,43336.0,1.1,48.8,18.3,18.4,18.3,0,50.01,253.9,255.8,253.2,0,42.5,0.41,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,631.9,640.0,3.9,,,,,,,,,,,,,,,,,0.1,11.4,11.3,0.1,,,,,,,,,,,,,,,,,0.1,11.4,11.3,0.1,,,,,,,0.0,7.2,7.23,0.0,,,,,,,5.3,631.9,640.0,3.9,,,,,,,100.0,100.0
2023/02/07,14:35:00,7,13.39,13.36,695.2,21.5,13.8,13.8,97.03,43353.0,1.1,65.2,17.8,17.8,17.8,0,50.08,248.7,249.5,247.7,0,41.9,0.41,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,651.8,644.2,3.8,,,,,,,,,,,,,,,,,0.1,10.5,10.8,0.1,,,,,,,,,,,,,,,,,0.1,10.5,10.8,0.1,,,,,,,0.0,6.84,6.96,0.0,,,,,,,4.7,651.8,644.2,3.8,,,,,,,100.0,100.0
