Date,Time,freq,fwd_run_secs,i_b,i_r,i_y,kvah_f,kvah_r,kvarh_f,kvarh_r,kwh_f,kwh_f_5min,kwh_f_today,kwh_r,pf,pow_act,pow_app,pow_react,rev_run_secs,v_br,v_ry,v_yb
2023/02/07,13:10:00,49.95,0,56.68,57.32,57.23,225657.42,464.32,7934.6,19.85,224537.23,3.65,148.92,95.75,1.0,43.05,43.04,0.49,0,434.48,437.41,434.31
2023/02/07,13:15:00,49.98,0,56.68,57.31,57.23,225661.09,464.32,7934.65,19.85,224540.91,3.68,152.57,95.75,1.0,43.12,43.12,0.5,0,435.2,438.12,435.15
2023/02/07,13:20:00,50.09,0,55.37,56.0,55.87,225664.45,464.32,7934.69,19.85,224544.27,3.36,156.25,95.75,1.0,42.1,42.05,0.5,0,434.74,438.04,434.96
2023/02/07,13:25:00,50.04,0,55.54,56.22,56.16,225668.0,464.32,7934.73,19.85,224547.8,3.53,159.61,95.75,1.0,42.24,42.23,0.5,0,434.7,437.2,434.93
2023/02/07,14:35:00,50.05,0,44.26,44.84,44.73,225712.67,464.32,7935.35,19.85,224592.48,2.9,204.92,95.75,1.0,33.17,33.17,0.58,0,428.06,431.63,428.22
