Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,ac_power_set,bst1_igbt_temp,bst2_igbt_temp,inv_status,pf_set,power_limit_flag,u_igbt_temp,v_igbt_temp,w_igbt_temp
2023/02/07,13:15:00,7,18.4,18.42,702.3,30.8,18.8,18.35,97.87,115464.2,1.7,68.3,24.6,24.4,24.7,0,49.98,251.4,251.9,250.7,0,68.1,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,595.6,595.6,595.6,595.6,596.1,596.1,596.1,596.1,,,,,,,,,,,,,0.0,5.4,5.2,5.3,4.9,5.0,5.0,0.0,,,,,,,,,,,,,16.4,15.2,,,,,,,,,9.8,9.0,,,,,,,,,595.6,596.1,,,,,,,,,0.0,74.8,76.0,67.0,0.0,1,78.2,85.9,82.6
2023/02/07,13:20:00,7,18.3,18.32,704.5,30.7,18.7,18.2,97.86,115465.7,1.6,69.9,24.5,24.4,24.6,0,50.07,251.6,251.7,250.5,0,69.5,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,593.9,593.9,593.9,593.9,591.9,591.9,591.9,591.9,,,,,,,,,,,,,0.0,5.3,5.3,5.3,4.8,5.0,5.0,0.0,,,,,,,,,,,,,16.4,15.2,,,,,,,,,9.7,9.0,,,,,,,,,593.9,591.9,,,,,,,,,0.0,74.9,76.4,67.0,0.0,1,78.2,86.0,82.6
2023/02/07,13:25:00,7,18.1,18.12,705.6,30.5,18.5,18.06,97.84,115466.7,1.0,70.9,24.2,24.2,24.1,0,50.04,252.0,252.8,251.5,0,69.5,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,592.3,592.3,592.3,592.3,591.9,591.9,591.9,591.9,,,,,,,,,,,,,0.0,5.3,5.2,5.3,4.8,5.0,4.9,0.0,,,,,,,,,,,,,16.3,15.1,,,,,,,,,9.6,8.9,,,,,,,,,592.3,591.9,,,,,,,,,0.0,73.9,76.1,67.0,0.0,1,77.8,85.3,82.6
2023/02/07,14:15:00,7,16.7,16.72,698.3,27.7,17.1,16.73,97.66,115481.2,1.6,85.4,22.3,22.4,22.5,0,49.95,249.9,250.6,249.7,0,68.4,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,603.5,603.5,603.5,603.5,604.3,604.3,604.3,604.3,,,,,,,,,,,,,0.0,4.8,4.6,4.6,4.5,4.6,4.6,0.0,,,,,,,,,,,,,14.6,13.7,,,,,,,,,8.9,8.2,,,,,,,,,603.5,604.3,,,,,,,,,0.0,71.9,73.5,67.0,0.0,1,75.2,83.5,79.9
2023/02/07,14:30:00,7,15.7,15.72,693.6,26.2,16.1,15.8,97.52,115485.1,1.4,89.2,21.4,21.3,21.2,0,49.98,248.4,248.9,247.9,0,68.2,0.4,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,602.3,602.3,602.3,602.3,603.5,603.5,603.5,603.5,,,,,,,,,,,,,0.0,4.5,4.4,4.5,4.2,4.3,4.3,0.0,,,,,,,,,,,,,14.0,12.9,,,,,,,,,8.4,7.7,,,,,,,,,602.3,603.5,,,,,,,,,0.0,70.8,72.4,67.0,0.0,1,74.0,82.1,78.5
2023/02/07,14:35:00,7,15.3,15.32,696.4,25.4,15.6,15.42,98.08,115486.6,1.5,90.7,20.6,20.4,20.4,0,50.06,250.1,250.0,249.1,0,67.8,0.3,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,606.0,606.0,606.0,606.0,608.6,608.6,608.6,608.6,,,,,,,,,,,,,0.0,4.3,4.3,4.3,4.1,4.2,4.2,0.0,,,,,,,,,,,,,13.4,12.3,,,,,,,,,8.1,7.5,,,,,,,,,606.0,608.6,,,,,,,,,0.0,70.3,71.5,67.0,0.0,1,73.0,81.0,77.4
