Date,Time,irradience,ambient_temp,ghi,irradiance_tdf,temperature,node_id,POA Instantaneous Energy,Daily POA Energy
2023/02/07,11:50:00,900.0,,,799,51.0,1,75.0,75.0
2023/02/07,13:10:00,679.0,,,603,51.1,1,56.583333333333336,131.58333333333334
2023/02/07,13:15:00,728.0,,,648,50.7,1,60.66666666666666,192.25
2023/02/07,13:20:00,738.0,,,654,51.4,1,61.5,253.75
2023/02/07,13:25:00,680.0,,,602,51.8,1,56.66666666666666,310.41666666666663
2023/02/07,14:35:00,487.0,,,439,48.1,1,40.583333333333336,350.99999999999994
