Date,Time,freq,fwd_run_secs,i_b,i_r,i_y,kvah_f,kvah_r,kvarh_f,kvarh_r,kwh_f,kwh_f_5min,kwh_f_today,kwh_r,pf,pow_act,pow_app,pow_react,rev_run_secs,v_br,v_ry,v_yb
2023/02/07,11:50:00,50.01,0,23.38,164.09,164.55,167733.23,258.27,2374.92,654.04,167394.78,7.28,219.48,32.52,-1.0,86.96,87.0,-1.36,0,429.92,427.17,426.48
2023/02/07,13:10:00,49.96,0,23.75,156.13,156.11,167834.09,258.27,2374.92,655.25,167495.66,7.18,320.36,32.52,-1.0,85.46,85.46,-0.84,0,439.71,439.88,441.13
2023/02/07,13:15:00,49.97,0,23.49,153.52,153.77,167841.08,258.27,2374.92,655.32,167502.64,6.98,327.34,32.52,-1.0,84.13,84.13,-0.92,0,440.66,439.52,440.78
2023/02/07,13:20:00,50.1,0,23.0,149.37,150.07,167847.92,258.27,2374.92,655.39,167509.47,6.83,334.17,32.52,-1.0,81.85,81.86,-1.13,0,442.01,438.72,438.29
2023/02/07,13:25:00,50.04,0,23.93,156.38,155.87,167854.97,258.27,2374.92,655.47,167516.52,7.05,341.22,32.52,-1.0,84.91,84.91,-0.5,0,435.38,436.07,441.83
2023/02/07,14:35:00,50.06,0,20.4,126.07,126.09,167944.28,258.27,2374.92,656.3,167605.83,5.66,430.53,32.52,-1.0,67.87,67.87,-0.48,0,431.79,429.61,433.88
