Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,plant_availability,grid_availability
2023/02/07,13:10:00,2,41.08,41.06,713.6,69.0,41.94,41.94,97.95,117530.0,3.4,144.5,53.0,52.9,52.7,0,49.97,255.4,257.1,256.9,0,66.2,0.86,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,620.1,607.5,596.0,,,,,,,,,,,,,,,,,,22.9,22.9,23.2,,,,,,,,,,,,,,,,,,22.9,22.9,23.2,,,,,,,,14.2,13.91,13.83,,,,,,,,620.1,607.5,596.0,,,,,,,,100.0,100.0
2023/02/07,13:15:00,2,40.85,40.84,713.6,68.3,41.69,41.69,97.99,117533.0,3.4,147.9,52.8,52.7,52.4,0,49.98,255.1,256.9,256.9,0,65.8,0.84,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,628.0,599.7,603.8,,,,,,,,,,,,,,,,,,22.6,23.0,22.7,,,,,,,,,,,,,,,,,,22.6,23.0,22.7,,,,,,,,14.19,13.79,13.71,,,,,,,,628.0,599.7,603.8,,,,,,,,100.0,100.0
2023/02/07,13:20:00,2,41.3,41.29,718.6,68.6,42.16,42.17,97.96,117537.0,3.4,151.3,53.1,53.0,52.8,0,50.08,256.0,258.1,257.8,0,66.1,0.86,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,632.1,604.1,608.1,,,,,,,,,,,,,,,,,,22.6,23.2,22.8,,,,,,,,,,,,,,,,,,22.6,23.2,22.8,,,,,,,,14.29,14.02,13.86,,,,,,,,632.1,604.1,608.1,,,,,,,,100.0,100.0
2023/02/07,13:25:00,2,40.69,40.68,716.0,68.9,41.63,41.63,97.74,117540.0,3.4,154.7,52.4,52.3,52.0,0,50.02,255.6,257.6,257.5,0,66.3,0.94,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,616.2,604.2,592.2,,,,,,,,,,,,,,,,,,22.9,22.9,23.1,,,,,,,,,,,,,,,,,,22.9,22.9,23.1,,,,,,,,14.11,13.84,13.68,,,,,,,,616.2,604.2,592.2,,,,,,,,100.0,100.0
2023/02/07,14:35:00,2,32.64,32.62,699.9,54.1,33.39,33.39,97.75,117584.0,2.8,198.4,43.2,43.0,42.8,0,50.06,249.9,251.6,251.1,0,60.8,0.75,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,632.5,611.4,608.3,,,,,,,,,,,,,,,,,,17.7,18.1,18.3,,,,,,,,,,,,,,,,,,17.7,18.1,18.3,,,,,,,,11.2,11.07,11.13,,,,,,,,632.5,611.4,608.3,,,,,,,,100.0,100.0
