Date,Time,freq,fwd_run_secs,i_b,i_r,i_y,kvah_f,kvah_r,kvarh_f,kvarh_r,kwh_f,kwh_f_5min,kwh_f_today,kwh_r,pf,pow_act,pow_app,pow_react,rev_run_secs,v_br,v_ry,v_yb
2023/02/07,11:50:00,50.0,0,90.3,90.35,90.93,249116.36,447.19,2879.79,814.26,248746.0,5.59,124.6,141.26,-1.0,67.91,67.95,-0.58,0,432.81,434.46,432.84
2023/02/07,13:10:00,49.98,0,91.65,91.65,92.31,249210.44,447.19,2879.79,815.04,248840.08,6.1,218.17,141.26,-1.0,72.04,72.06,-0.56,0,452.3,454.27,451.98
2023/02/07,13:15:00,49.98,0,90.95,90.94,91.7,249216.42,447.19,2879.79,815.09,248846.06,5.98,224.27,141.26,-1.0,71.59,71.61,-0.57,0,452.86,454.61,452.64
2023/02/07,13:20:00,50.09,0,92.13,92.02,92.66,249222.48,447.19,2879.79,815.13,248852.12,6.06,230.25,141.26,-1.0,72.49,72.51,-0.55,0,452.83,454.91,453.34
2023/02/07,13:25:00,50.05,0,98.89,98.94,99.45,249228.48,447.19,2879.79,815.18,248858.12,6.0,236.31,141.26,-1.0,74.9,74.92,-0.64,0,436.44,437.17,435.98
2023/02/07,14:35:00,50.06,0,92.61,92.6,93.29,249311.48,447.19,2879.79,815.9,248941.11,5.61,319.69,141.26,-1.0,69.23,69.25,-0.58,0,430.28,431.89,429.68
