Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:15:00,30,34.54,34.54,644.4,54.5,35.12,35.37,98.33,366580.58,2.73,135.66,40.6,40.6,40.5,0,49.98,493.0,490.8,494.7,0,58.6,0.58,1.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,649.1,649.1,647.8,647.8,649.7,649.7,649.2,649.2,,,,,,,,,,,,,6.8,6.9,6.8,6.9,6.6,6.8,6.8,6.9,,,,,,,,,,,,,13.7,13.7,13.4,13.7,,,,,,,8.88,8.87,8.73,8.87,,,,,,,649.1,647.8,649.7,649.2,,,,,,
2023/02/07,13:20:00,30,35.31,35.31,638.97,56.2,35.91,36.13,98.33,366583.68,3.1,138.76,41.7,41.6,41.4,0,50.1,493.0,489.6,494.0,0,58.6,0.6,1.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,643.1,643.1,647.8,647.8,637.7,637.7,643.2,643.2,,,,,,,,,,,,,7.0,7.1,6.9,7.1,6.9,7.1,7.0,7.1,,,,,,,,,,,,,14.1,14.0,14.0,14.1,,,,,,,9.06,9.07,8.92,9.09,,,,,,,643.1,647.8,637.7,643.2,,,,,,
2023/02/07,13:25:00,30,35.89,35.89,638.11,57.2,36.5,36.77,98.32,366586.81,3.13,141.89,42.8,42.9,42.6,0,50.04,486.2,483.8,487.5,0,58.8,0.61,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,637.1,637.1,641.8,641.8,649.7,649.7,643.2,643.2,,,,,,,,,,,,,7.2,7.3,7.1,7.2,6.9,7.1,7.2,7.2,,,,,,,,,,,,,14.5,14.3,14.0,14.4,,,,,,,9.17,9.17,9.07,9.26,,,,,,,637.1,641.8,649.7,643.2,,,,,,
2023/02/07,14:35:00,30,27.69,27.69,636.2,44.2,28.12,28.28,98.45,366622.67,2.55,177.75,32.4,32.4,32.3,0,50.05,496.5,493.7,497.1,0,59.7,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,637.1,637.1,635.8,635.8,643.7,643.7,643.2,643.2,,,,,,,,,,,,,5.6,5.6,5.5,5.6,5.4,5.5,5.5,5.5,,,,,,,,,,,,,11.2,11.1,10.9,11.0,,,,,,,7.16,7.12,7.04,7.13,,,,,,,637.1,635.8,643.7,643.2,,,,,,
