Date,Time,freq,fwd_run_secs,i_b,i_r,i_y,kvah_f,kvah_r,kvarh_f,kvarh_r,kwh_f,kwh_f_5min,kwh_f_today,kwh_r,pf,pow_act,pow_app,pow_react,rev_run_secs,v_br,v_ry,v_yb
2023/02/07,13:10:00,49.96,0,139.63,139.16,139.39,386288.88,1001.81,6545.0,1840.2,385252.53,9.72,398.75,88.23,-1.0,113.24,113.24,-1.17,0,469.71,468.21,469.16
2023/02/07,13:15:00,49.97,0,141.05,140.58,140.91,386298.34,1001.81,6545.0,1840.28,385262.0,9.47,408.47,88.23,-1.0,114.55,114.54,-0.89,0,470.41,468.44,469.75
2023/02/07,13:20:00,50.09,0,140.15,139.65,140.05,386307.78,1001.81,6545.0,1840.35,385271.41,9.41,417.94,88.23,-1.0,113.98,113.97,-0.82,0,471.42,469.08,470.03
2023/02/07,13:25:00,50.04,0,143.19,143.04,142.7,386316.97,1001.81,6545.0,1840.43,385280.59,9.18,427.35,88.23,-1.0,111.67,111.67,-0.89,0,450.99,450.03,451.8
2023/02/07,14:35:00,50.06,0,125.6,125.4,125.41,386440.62,1001.81,6545.0,1841.4,385404.25,7.97,552.22,88.23,-1.0,95.88,95.88,-0.99,0,441.49,440.08,442.02
