Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:10:00,1,35.97,35.96,747.3,53.0,36.71,36.71,97.98,124665.0,3.0,113.9,45.1,45.4,45.1,0,49.93,261.3,262.9,263.0,0,53.3,0.74,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,679.3,695.9,707.7,2.6,,,,,,,,,,,,,,,,,18.1,17.7,17.1,0.1,,,,,,,,,,,,,,,,,18.1,17.7,17.1,0.1,,,,,,,12.3,12.32,12.1,0.0,,,,,,,679.3,695.9,707.7,2.6,,,,,,
2023/02/07,13:15:00,1,35.7,35.68,731.2,53.3,36.38,36.38,98.13,124668.0,3.1,117.0,44.8,45.0,44.7,0,49.93,261.7,262.8,263.0,0,53.0,0.68,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,679.9,687.9,684.0,2.4,,,,,,,,,,,,,,,,,17.9,17.7,17.6,0.1,,,,,,,,,,,,,,,,,17.9,17.7,17.6,0.1,,,,,,,12.17,12.18,12.04,0.0,,,,,,,679.9,687.9,684.0,2.4,,,,,,
2023/02/07,13:20:00,1,36.75,36.74,736.5,54.6,37.55,37.55,97.87,124671.0,3.0,120.0,46.0,46.2,46.0,0,50.1,261.9,263.9,263.9,0,53.3,0.8,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,679.8,695.4,691.9,2.7,,,,,,,,,,,,,,,,,18.4,18.1,18.0,0.1,,,,,,,,,,,,,,,,,18.4,18.1,18.0,0.1,,,,,,,12.51,12.59,12.45,0.0,,,,,,,679.8,695.4,691.9,2.7,,,,,,
2023/02/07,13:25:00,1,36.72,36.71,747.3,54.5,37.61,37.61,97.63,124674.0,3.1,123.1,47.8,47.9,47.8,0,50.04,251.5,252.9,253.6,0,54.4,0.89,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,679.3,687.7,707.9,2.6,,,,,,,,,,,,,,,,,18.5,18.3,17.6,0.1,,,,,,,,,,,,,,,,,18.5,18.3,17.6,0.1,,,,,,,12.57,12.58,12.46,0.0,,,,,,,679.3,687.7,707.9,2.6,,,,,,
2023/02/07,14:35:00,1,34.19,34.18,766.1,50.0,34.9,34.9,97.97,124716.0,2.8,164.9,44.9,45.1,45.0,0,50.07,248.2,250.2,249.7,0,54.5,0.71,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,674.7,699.5,726.3,2.5,,,,,,,,,,,,,,,,,17.2,16.8,15.9,0.1,,,,,,,,,,,,,,,,,17.2,16.8,15.9,0.1,,,,,,,11.6,11.75,11.55,0.0,,,,,,,674.7,699.5,726.3,2.5,,,,,,
