Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,36,30.79,30.79,661.31,47.3,31.28,31.51,98.44,264758.31,2.53,154.56,35.2,34.8,35.0,0,49.99,511.5,509.9,503.8,0,65.2,0.49,1.0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,645.4,645.4,661.5,661.5,646.1,646.1,708.2,708.2,,,,,,,,,,,,,5.8,5.9,5.6,5.6,5.9,5.9,12.6,0.0,,,,,,,,,,,,,11.7,11.2,11.8,12.6,,,,,,,7.53,7.49,7.66,8.91,,,,,,,645.4,661.5,646.1,708.2,,,,,,,1675755600.0
2023/02/07,13:15:00,36,31.23,31.23,662.42,47.9,31.73,31.93,98.42,264761.45,3.14,157.7,35.7,35.2,35.4,0,49.97,512.1,510.5,504.8,0,65.0,0.5,1.0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,651.4,651.4,661.5,661.5,646.1,646.1,702.1,702.1,,,,,,,,,,,,,5.7,5.9,5.6,5.6,5.9,5.9,13.3,0.0,,,,,,,,,,,,,11.6,11.2,11.8,13.3,,,,,,,7.62,7.48,7.67,9.36,,,,,,,651.4,661.5,646.1,702.1,,,,,,,1675755900.0
2023/02/07,13:20:00,36,33.17,33.17,662.28,50.9,33.71,33.98,98.42,264764.0,2.55,160.25,37.0,36.6,36.8,0,50.1,522.7,520.9,515.5,0,65.5,0.54,1.0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,663.4,663.4,655.6,655.6,646.1,646.1,702.2,702.2,,,,,,,,,,,,,6.1,6.1,6.2,6.1,6.4,6.3,13.7,0.0,,,,,,,,,,,,,12.2,12.3,12.7,13.7,,,,,,,8.04,7.98,8.18,9.59,,,,,,,663.4,655.6,646.1,702.2,,,,,,,1675756200.0
2023/02/07,13:25:00,36,29.04,29.04,664.19,44.4,29.49,29.66,98.48,264766.48,2.48,162.73,32.3,32.1,32.1,0,50.04,523.7,522.0,515.7,0,65.4,0.45,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,657.4,657.4,661.5,661.5,646.1,646.1,702.2,702.2,,,,,,,,,,,,,5.3,5.3,5.3,5.2,5.5,5.4,12.4,0.0,,,,,,,,,,,,,10.6,10.5,10.9,12.4,,,,,,,6.99,6.91,7.09,8.66,,,,,,,657.4,661.5,646.1,702.2,,,,,,,1675756500.0
2023/02/07,14:35:00,36,21.92,21.92,678.35,32.8,22.25,22.4,98.54,264797.78,1.79,194.03,24.6,24.4,24.6,0,50.04,518.1,515.6,511.7,0,62.6,0.33,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,675.4,675.4,667.5,667.5,670.1,670.1,714.2,714.2,,,,,,,,,,,,,3.9,3.9,4.0,3.9,4.0,4.0,9.1,0.0,,,,,,,,,,,,,7.8,7.9,8.0,9.1,,,,,,,5.31,5.26,5.35,6.48,,,,,,,675.4,667.5,670.1,714.2,,,,,,,1675760700.0
