Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9,timestamp
2023/02/07,13:10:00,3,28.6,28.6,642.92,45.2,29.06,29.14,98.41,405605.35,2.39,142.08,32.4,32.5,32.6,0,49.99,506.9,502.7,510.7,0,72.9,0.46,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,637.8,637.8,637.4,637.4,637.5,637.5,667.3,667.3,,,,,,,,,,,,,5.6,5.8,5.7,5.7,6.0,5.7,5.3,5.4,,,,,,,,,,,,,11.4,11.4,11.7,10.7,,,,,,,7.32,7.28,7.47,7.17,,,,,,,637.8,637.4,637.5,667.3,,,,,,,1675755600.0
2023/02/07,13:15:00,3,30.2,30.2,639.17,48.0,30.68,30.85,98.41,405607.71,2.37,144.45,34.2,34.3,34.4,0,50.0,506.9,502.9,510.9,0,72.5,0.48,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,631.9,631.9,637.4,637.4,641.4,641.4,661.3,661.3,,,,,,,,,,,,,6.0,6.2,6.0,6.0,6.3,6.0,5.7,5.8,,,,,,,,,,,,,12.2,12.0,12.3,11.5,,,,,,,7.7,7.64,7.87,7.58,,,,,,,631.9,637.4,641.4,661.3,,,,,,,1675755900.0
2023/02/07,13:20:00,3,31.25,31.25,642.91,49.4,31.76,31.94,98.41,405610.12,2.41,146.86,34.7,34.8,34.9,0,50.07,518.1,514.1,521.7,0,72.2,0.51,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,643.9,643.9,643.4,643.4,643.6,643.6,655.3,655.3,,,,,,,,,,,,,6.1,6.3,6.1,6.2,6.5,6.2,6.0,6.0,,,,,,,,,,,,,12.4,12.3,12.7,12.0,,,,,,,7.99,7.93,8.16,7.85,,,,,,,643.9,643.4,643.6,655.3,,,,,,,1675756200.0
2023/02/07,13:25:00,3,27.91,27.91,645.56,43.9,28.34,28.44,98.47,405613.0,2.88,149.74,30.9,31.0,31.1,0,50.04,519.4,514.9,523.0,0,70.8,0.43,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,643.9,643.9,643.4,643.4,643.6,643.6,661.3,661.3,,,,,,,,,,,,,5.4,5.7,5.5,5.5,5.8,5.5,5.2,5.3,,,,,,,,,,,,,11.1,11.0,11.3,10.5,,,,,,,7.14,7.05,7.29,6.97,,,,,,,643.9,643.4,643.6,661.3,,,,,,,1675756500.0
2023/02/07,14:35:00,03,20.93,20.93,651.84,32.6,21.25,21.41,98.49,405642.54,1.69,179.27,23.3,23.5,23.5,0,50.06,514.2,511.8,518.9,0,62.6,0.32,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,655.9,655.9,649.4,649.4,655.5,655.5,667.2,667.2,,,,,,,,,,,,,4.0,4.2,4.1,4.1,4.3,4.0,3.9,4.0,,,,,,,,,,,,,8.2,8.2,8.3,7.9,,,,,,,5.38,5.28,5.43,5.26,,,,,,,655.9,649.4,655.5,667.2,,,,,,,1675760700.0
