Date,Time,node_id,ac_power,apparant_power,dc_bus_voltage,dc_current,dc_power,dc_power_smb,efficiency,energy,energy_5min,energy_today,grid_curnt_1,grid_curnt_2,grid_curnt_3,grid_down,grid_frequency,grid_voltage_v12,grid_voltage_v23,grid_voltage_v31,inv_down,inv_temp,inverter_loss,pf,reactive_power,alarm/01,alarm/02,alarm/03,alarm/04,alarm/05,alarm/06,alarm/07,alarm/08,alarm/09,alarm/10,alarm/11,alarm/12,dc_bus_voltages/0,dc_bus_voltages/1,dc_bus_voltages/2,dc_bus_voltages/3,dc_bus_voltages/4,dc_bus_voltages/5,dc_bus_voltages/6,dc_bus_voltages/7,dc_bus_voltages/8,dc_bus_voltages/9,dc_bus_voltages/10,dc_bus_voltages/11,dc_bus_voltages/12,dc_bus_voltages/13,dc_bus_voltages/14,dc_bus_voltages/15,dc_bus_voltages/16,dc_bus_voltages/17,dc_bus_voltages/18,dc_bus_voltages/19,dc_currents/0,dc_currents/1,dc_currents/2,dc_currents/3,dc_currents/4,dc_currents/5,dc_currents/6,dc_currents/7,dc_currents/8,dc_currents/9,dc_currents/10,dc_currents/11,dc_currents/12,dc_currents/13,dc_currents/14,dc_currents/15,dc_currents/16,dc_currents/17,dc_currents/18,dc_currents/19,mppt_currents/0,mppt_currents/1,mppt_currents/2,mppt_currents/3,mppt_currents/4,mppt_currents/5,mppt_currents/6,mppt_currents/7,mppt_currents/8,mppt_currents/9,mppt_powers/0,mppt_powers/1,mppt_powers/2,mppt_powers/3,mppt_powers/4,mppt_powers/5,mppt_powers/6,mppt_powers/7,mppt_powers/8,mppt_powers/9,mppt_voltages/0,mppt_voltages/1,mppt_voltages/2,mppt_voltages/3,mppt_voltages/4,mppt_voltages/5,mppt_voltages/6,mppt_voltages/7,mppt_voltages/8,mppt_voltages/9
2023/02/07,13:10:00,21,25.18,25.17,763.7,40.2,25.89,25.9,97.26,404273.0,2.3,119.7,30.7,31.0,30.6,0,49.98,273.1,270.7,275.0,0,73.0,0.71,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,640.1,647.5,643.2,647.7,,,,,,,,,,,,,,,,,11.6,11.4,11.5,5.7,,,,,,,,,,,,,,,,,11.6,11.4,11.5,5.7,,,,,,,7.43,7.38,7.4,3.69,,,,,,,640.1,647.5,643.2,647.7,,,,,,
2023/02/07,13:15:00,21,25.2,25.19,762.0,40.0,25.82,25.82,97.6,404275.0,2.0,121.7,30.8,31.0,30.7,0,49.93,271.9,269.3,274.1,0,71.6,0.62,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,644.3,644.7,648.0,643.9,,,,,,,,,,,,,,,,,11.4,11.5,11.4,5.7,,,,,,,,,,,,,,,,,11.4,11.5,11.4,5.7,,,,,,,7.35,7.41,7.39,3.67,,,,,,,644.3,644.7,648.0,643.9,,,,,,
2023/02/07,13:20:00,21,25.3,25.29,776.9,39.9,25.72,25.72,98.37,404277.0,2.3,124.0,29.9,30.3,29.8,0,50.11,277.6,274.7,279.5,0,71.7,0.42,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,640.6,647.8,643.8,648.8,,,,,,,,,,,,,,,,,11.5,11.4,11.4,5.6,,,,,,,,,,,,,,,,,11.5,11.4,11.4,5.6,,,,,,,7.37,7.38,7.34,3.63,,,,,,,640.6,647.8,643.8,648.8,,,,,,
2023/02/07,13:25:00,21,25.65,25.64,778.7,41.0,26.32,26.32,97.45,404279.0,1.9,125.9,30.6,30.9,30.5,0,50.01,278.7,276.1,280.4,0,73.0,0.67,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,640.0,648.4,643.2,631.5,,,,,,,,,,,,,,,,,11.7,11.6,11.7,6.0,,,,,,,,,,,,,,,,,11.7,11.6,11.7,6.0,,,,,,,7.49,7.52,7.53,3.79,,,,,,,640.0,648.4,643.2,631.5,,,,,,
2023/02/07,14:35:00,21,19.61,19.6,774.3,30.0,20.01,20.01,98.0,404305.0,1.7,151.4,23.5,23.7,23.4,0,50.03,276.2,274.7,278.7,0,64.0,0.4,1.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,664.2,663.5,675.6,663.7,,,,,,,,,,,,,,,,,8.6,8.6,8.5,4.3,,,,,,,,,,,,,,,,,8.6,8.6,8.5,4.3,,,,,,,5.71,5.71,5.74,2.85,,,,,,,664.2,663.5,675.6,663.7,,,,,,
